preference_key,movie_title,star_cast,rating,year,place,vote,link
4,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.312155660287543,2017,76,,/title/tt2380307/
1,El submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.311847411713268,1981,77,,/title/tt0082096/
2,Bastardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.310448595285985,2009,78,,/title/tt0361748/
3,La princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303910378097973,1997,79,,/title/tt0119698/
4,Érase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.301197504195368,1984,80,,/title/tt0087843/
1,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.300616218312456,2019,81,,/title/tt4154796/
2,Mente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.286305062085239,1997,82,,/title/tt0119217/
3,Réquiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.277320270843928,2000,83,,/title/tt0180093/
4,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.276852890047444,2010,84,,/title/tt0435761/
1,Cantando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.274097110074857,1952,85,,/title/tt0045152/
2,Your Name,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.274053271308565,2016,86,,/title/tt5311514/
3,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.268550786155629,2009,87,,/title/tt1187043/
4,El regreso del Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.268319311401756,1983,88,,/title/tt0086190/
1,2001: odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.266014685862654,1968,89,,/title/tt0062622/
2,Perros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.265052371419134,1992,90,,/title/tt0105236/
3,Eterno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.264915236685962,2004,91,,/title/tt0338013/
4,Cielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.262500313710886,1963,92,,/title/tt0057565/
1,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.262334980211856,2022,93,,/title/tt6710474/
2,El ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.25838160478777,1941,94,,/title/tt0033467/
3,Cafarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.258282556339456,2018,95,,/title/tt8267604/
4,Lawrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.256724330502822,1962,96,,/title/tt0056172/
1,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.255018033185827,2012,97,,/title/tt2106476/
2,M el maldito,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.254685261903278,1931,98,,/title/tt0022100/
3,Intriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.254120314004796,1959,99,,/title/tt0053125/
4, De entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.248229082912491,1958,10,,/title/tt0052357/
1,Amelie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.246909288277175,2001,101,,/title/tt0211915/
2,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.245216042286566,1971,102,,/title/tt0066921/
3,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.24310490260304,1985,103,,/title/tt0091251/
4,Cara de guerra,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.240379025536406,1987,104,,/title/tt0093058/
1,Pacto de sangre,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.238155204404881,1944,105,,/title/tt0036775/
2,Piso de soltero,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.23713579230099,1960,106,,/title/tt0053604/
3,Caracortada,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.235053308658905,1983,107,,/title/tt0086250/
4,Ikiru - Vivir,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.229538049866465,1952,108,,/title/tt0044741/
1,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.229193743855248,1962,109,,/title/tt0056592/
2,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.229113747613606,1973,110,,/title/tt0070735/
3,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.228712444290123,1976,111,,/title/tt0075314/
4,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.225435216251238,1997,112,,/title/tt0119488/
1,"Up, una aventura de altura","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224262940443491,2009,113,,/title/tt1049413/
2,Spider-Man: sin camino a casa,"Jon Watts (dir.), Tom Holland, Zendaya",8.223640628105809,2021,114,,/title/tt10872600/
3,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.222983611791085,2020,115,,/title/tt8503618/
4,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.22297552198231,1995,116,,/title/tt0113277/
1,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.22118902679522,1927,117,,/title/tt0017136/
2,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.220693428112723,2000,118,,/title/tt0208092/
3,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.220572900317515,2011,119,,/title/tt1832382/
4,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.220349436939985,1988,120,,/title/tt0095016/
1,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.219266053738965,2010,121,,/title/tt1255953/
2,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.218390433367318,1989,122,,/title/tt0097576/
3,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.217665215836064,1948,123,,/title/tt0040522/
4,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.212286438931384,2019,124,,/title/tt8579674/
1,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.206287876086963,2007,125,,/title/tt0986264/
2,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.20481526894657,2004,126,,/title/tt0363163/
3,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2036239267369,1965,127,,/title/tt0059578/
4,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.202489119177173,2005,128,,/title/tt0372784/
1,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.198277892728123,2016,129,,/title/tt5074352/
2,El chiquillo,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.19489644982447,1921,130,,/title/tt0012349/
3,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.191612158863931,1959,131,,/title/tt0053291/
4,El Padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.183962990748128,2020,132,,/title/tt10272386/
1,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180121775500082,1950,133,,/title/tt0042192/
2,Green Book: Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.174339819323254,2018,134,,/title/tt6966692/
3,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.171079001403086,2013,135,,/title/tt0993846/
4,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.168294655745273,1961,136,,/title/tt0055031/
1,Los imperdonables,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.164871446192791,1992,137,,/title/tt0105695/
2,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.163675592933442,1995,138,,/title/tt0112641/
3,El laberinto del fauno,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.16361191512268,2006,139,,/title/tt0457430/
4,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.163335489936362,1985,140,,/title/tt0089881/
1,Petróleo sangriento,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.154590864549775,2007,141,,/title/tt0469494/
2,El sexto sentido,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.153630965585767,1999,142,,/title/tt0167404/
3,Una mente brillante,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.153237386831726,2001,143,,/title/tt0268978/
4,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.153075229963282,1975,144,,/title/tt0071853/
1,The Truman Show: Historia de una vida,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.151106031948034,1998,145,,/title/tt0120382/
2,Yojimbo,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.148800460851055,1961,146,,/title/tt0055630/
3,El tesoro de la Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.148165996352873,1948,147,,/title/tt0040897/
4,Rashomon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.1433065496033,1950,148,,/title/tt0042876/
1,El gran escape,"John Sturges (dir.), Steve McQueen, James Garner",8.14255221564415,1963,149,,/title/tt0057115/
2,La isla siniestra,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.142255196480017,2010,150,,/title/tt1130884/
3,Parque jurásico,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.13755952468641,1993,151,,/title/tt0107290/
4,Kill Bill Vol 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.137259594844634,2003,152,,/title/tt0266697/
1,Sin lugar para los débiles,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.135063441573601,2007,153,,/title/tt0477348/
2,El hombre elefante,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.131524534096588,1980,154,,/title/tt0080678/
3,Buscando a Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131210930563626,2003,155,,/title/tt0266543/
4,El toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.13029455088682,1980,156,,/title/tt0081398/
1,Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129133136360664,1974,157,,/title/tt0071315/
2,Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.127336814456893,1939,158,,/title/tt0031381/
3,V de Venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.126364922554778,2005,159,,/title/tt0434409/
4,Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.124923448117064,2015,160,,/title/tt2096673/
1,La cosa del otro mundo,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.124232868989601,1982,161,,/title/tt0084787/
2,"Juegos, trampas y dos armas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.123826694509283,1998,162,,/title/tt0120735/
3,Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.119161941009509,1954,163,,/title/tt0046912/
4,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.118341029673454,2009,164,,/title/tt1305806/
1,El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.114987080580521,1957,165,,/title/tt0050212/
2,El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.114445416846841,2004,166,,/title/tt0347149/
3,Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.111788450927905,2017,167,,/title/tt5027774/
4,La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.111734517928515,1996,168,,/title/tt0117951/
1,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1057464104664,2008,169,,/title/tt1205489/
2,La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.105260769768154,2011,170,,/title/tt1291584/
3,"Fargo, secuestro voluntario","Joel Coen (dir.), William H. Macy, Frances McDormand",8.103603905255602,1996,171,,/title/tt0116282/
4,Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.095612307261764,1988,172,,/title/tt0096283/
1,Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.094333461650402,2013,173,,/title/tt1392214/
2,Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.090190430689304,2004,174,,/title/tt0405159/
3,La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.088116030263825,1925,175,,/title/tt0015864/
4,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.087312523137845,1982,176,,/title/tt0083658/
1,Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.085826889183096,2002,177,,/title/tt0264464/
2,Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.08504438082387,1954,178,,/title/tt0047296/
3,El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.083016527121623,1949,179,,/title/tt0041959/
4,Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.081708519714939,1997,180,,/title/tt0118849/
1,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.079080680267547,1959,181,,/title/tt0052618/
2,El general,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.078444712989372,1926,182,,/title/tt0017925/
3,12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.078105690316471,2013,183,,/title/tt2024544/
4,Las fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.077640219238354,1957,184,,/title/tt0050986/
1,Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.077411127006343,2014,185,,/title/tt2267998/
2,Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.07622823091698,1995,186,,/title/tt0112471/
3,El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.076116436183533,1978,187,,/title/tt0077416/
4,Harry Potter y las reliquias de la muerte 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.07556094397229,2011,188,,/title/tt1201607/
1,En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.074713086893345,1993,189,,/title/tt0107207/
2,El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.07208823742013,2014,190,,/title/tt2278388/
3,Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.071660070442771,1939,191,,/title/tt0031679/
4,El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.070808810825651,1953,192,,/title/tt0046268/
1,Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.070309865282553,1924,193,,/title/tt0015324/
2,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.06893724598233,1975,194,,/title/tt0072684/
3,Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.068211362915962,2003,195,,/title/tt0353969/
4,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.068039741921709,2015,196,,/title/tt3170832/
1,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.066783448788925,2016,197,,/title/tt2119532/
2,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.066260435399878,1957,198,,/title/tt0050976/
3,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.066241096798377,2019,199,,/title/tt4729430/
4,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.064907732676804,2014,200,,/title/tt3011894/
1,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.063125965861591,1998,201,,/title/tt0118715/
2,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.06214242389496,2010,202,,/title/tt0892769/
3,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.061587524994364,2015,203,,/title/tt1392190/
4,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.060378502566232,2009,204,,/title/tt0978762/
1,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.058171755648344,2001,205,,/title/tt0198781/
2,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.05773833152143,1975,206,,/title/tt0073195/
3,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.055864098459688,1928,207,,/title/tt0019254/
4,Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.05424362964168,1955,208,,/title/tt0048473/
1,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.053407298160545,2004,209,,/title/tt0395169/
2,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.05202115424116,1953,210,,/title/tt0046438/
3,La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.051931239170212,1989,211,,/title/tt0097165/
4,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.047689278628662,1986,212,,/title/tt0091763/
1,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.047278503581232,1976,213,,/title/tt0075148/
2,Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.045438775681175,2019,214,,/title/tt1950186/
3,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.042357798851494,1986,215,,/title/tt0092005/
4,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.041470829554664,1984,216,,/title/tt0088247/
1,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.039706604365819,2013,217,,/title/tt1979320/
2,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.039319178530514,2015,218,,/title/tt1895587/
3,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.038119705983117,2007,219,,/title/tt0758758/
4,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.037326336950299,1976,220,,/title/tt0074958/
1,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.036092462928297,1939,221,,/title/tt0032138/
2,Logan: Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.035141296920965,2017,222,,/title/tt3315342/
3,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.03288589166235,1993,223,,/title/tt0107048/
4,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.031026457528172,2007,224,,/title/tt0382932/
1,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.02850598893144,1973,225,,/title/tt0070047/
2,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.028040351795548,2004,226,,/title/tt0381681/
3,Lo mejor de nuestra vida,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.026083073113313,1946,227,,/title/tt0036868/
4,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025300877354944,2004,228,,/title/tt0317705/
1,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.024752082585211,1942,229,,/title/tt0035446/
2,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.0230548322426,1966,230,,/title/tt0058946/
